initial_spark_compare.job_id	initial_spark_compare.max_capacity_memory_delayed	initial_spark_compare.user_limit_memory_delayed	initial_spark_compare.elastic_unfariness_memory_delayed	initial_spark_compare.competing_jobs_memory_delayed	initial_spark_compare.total_memory_delayed	initial_spark_compare.memory_waiting	initial_spark_compare.max_mem_capacity_robbed_mbsec	initial_spark_compare.elastic_unfairness_mem_capped_mbsec	initial_spark_compare.competing_job_mem_capped_mbsec
job_1435714271812_11349	2.7009773568E7	0.0	2314.752	0.0	2.9612755711999995E8	2.880512E8	0.0	1.2886016E7	0.0
job_1435714271812_11344	2.0988604416E7	0.0	714.24	0.0	1.11800526848E8	1.03354368E8	0.0	0.0	0.0
job_1435714271812_10805	568017.92	0.0	0.0	0.0	1261965.824	36864.0	0.0	0.0	0.0
job_1435714271812_10718	2426857.472	0.0	0.0	0.0	2437118.464	888832.0	0.0	0.0	0.0
job_1435714271812_11356	82242.04800000001	0.0	0.0	0.0	786694.6560000001	440832.0	0.0	387072.0	53760.0
job_1435714271812_10754	0.0	0.0	0.0	0.0	399134.20800000004	12288.0	0.0	0.0	0.0
job_1435714271812_11401	0.0	0.0	0.0	0.0	398628.864	66048.0	0.0	0.0	0.0
job_1435714271812_11362	1.4517968896E7	0.0	0.0	0.0	1.724324864E7	1.5766016E7	0.0	86016.0	0.0
job_1435714271812_11339	4.2671228416E7	0.0	440709.11999999994	0.0	4.3123287552E7	2.271232E7	6067200.0	0.0	0.0
job_1435714271812_10513	9116352.512	0.0	11539.968	0.0	3.6390229504E7	3.4766848E7	0.0	0.0	0.0
job_1435714271812_10622	2830614.528	0.0	0.0	0.0	2870473.216	2404352.0	0.0	0.0	0.0
job_1435714271812_11300	1434493.952	0.0	0.0	0.0	1529294.848	35328.0	0.0	0.0	0.0
job_1435714271812_11259	1089110.016	0.0	0.0	0.0	1335872.0	430080.0	0.0	0.0	0.0
job_1435714271812_11236	1742281.216	0.0	574.4639999999999	0.0	2007793.6639999999	32768.0	0.0	0.0	0.0
job_1435714271812_10683	4143453.1839999994	0.0	0.0	0.0	4155718.6559999995	2600960.0	0.0	0.0	0.0
job_1435714271812_11345	1.9660423167999998E7	0.0	1525.248	0.0	1.47019547136E8	1.36249344E8	0.0	0.0	0.0
job_1435714271812_11264	1552491.5199999998	0.0	0.0	0.0	1640750.0799999998	245760.0	0.0	0.0	0.0
job_1435714271812_11445	1.8240246272E7	0.0	0.0	0.0	2.0229938176E7	1.5031296E7	0.0	106496.0	0.0
job_1435714271812_11243	4147580.9280000003	0.0	2038.272	0.0	1.3161124864000002E7	1.024E7	0.0	0.0	0.0
job_1435714271812_11429	1.8279993856000002E7	0.0	0.0	0.0	2.0354723840000004E7	1.4546432E7	0.0	0.0	0.0
job_1435714271812_10657	1027276.7999999999	0.0	0.0	0.0	1531217.92	32256.0	0.0	0.0	0.0
job_1435714271812_11383	1.8921119744E7	0.0	0.0	0.0	4.499421696E7	3.9801344E7	0.0	1.1771904E7	0.0
job_1435714271812_11415	6.5020692480000004E7	0.0	0.0	0.0	6.522107443200001E7	5.400576E7	0.0	0.0	0.0
